data,type
French Southern and Antarctic Lands,E
Warner Bros?,E
Marc-Antoine Charpentier,E
nokia 215,E
series 30+,E
OS,R
Sampson Cudjoe,E
Ghana national team,E
CBBC,E
Chinese poetry,E
Joshua A. Siegel,E
attend,R
Lori Black,E
"Palo Alto, California",E
I Can't Change the World,E
Duong river,E
Chicken Run,E
member past,R
ladonia,E
Empire of Atlantium,E
Plena,E
Caribbean,E
stylistic origins,R
Brad Paisley Discography,E
Sea gayle Music,E
"Haiti, I am sorry",E
"Kansas City, Missouri",E
City,R
american football league,R
A. Peter Dewey,E
American Indian wars,E
Oysterhead,E
composers,R
Khok Kwang,E
timezone,R
Karu Jayasuriya,E
Ranil Wickremesinghe,E
Louis chevrolet,E
crystal harris,E
Foxconn,E
information appliance,R
Guy,E
Michael Poulin,E
Uncle Henry,E
Human,E
MapleMusic Recordings,E
Dale Mitchell (ice hockey),E
Lesli Sanchez,E
1972 Oakland Raiders season,E
Dowra,E
location mouth,R
rive,R
roshan ranasinghe,E
nhiek tioulong,E
Jean-Marc Germain,E
"Tampa, Florida",E
employment,R
Edwin of Northumbria,E
venerated,R
Fort Gadsden,E
Fort Barrancas,E
Montpelier,E
Hard Candy Fitness,E
Moscow,E
divisions,R
Latania verschaffeltii,E
hypnotize Minds,E
the Producers,E
Fred Claus,E
Saint Petersburg,E
C programming language,E
Warren Magnuson,E
Million Dollar Traders,E
Andrew Lincoln,E
Blytheville High School,E
Budapest,E
Alan Jouban,E
Eddie Bravo,E
content licence,R
Swedish,R
Lake Uniamsi,E
Peter Cosgrove,E
unit,R
place mouth,R
Paul Hausser,E
Candice Michelle,E
StandBy records,E
Sony,E
distribute,R
Jessi Colter,E
Army Group Oberrhein (Germany),E
Kingsley Wood,E
Roger waters,E
USS Marmora (IX-189),E
Ship builder,R
Beth Tweddle,E
Randy Jackson,E
Mark Middleton,E
The adventures of Tom Sawyer,E
James Chadwick,E
Arabian Peninsula,E
New Zealand Chess Federation,E
Eddie Anderson,E
Joe Porter,E
Producer,R
Oslo,E
Maharashtra,E
Colorado Avalanche,E
Canberra,E
Karinga Bay,E
Think (journal),E
Robert Morris Colonials,E
Africa '70 (band),E
associated musical,R
Sanggar Agung,E
Nick Williams,E
rugby player,R
GeneWeb,E
GPL,E
Sigma TV,E
Lumbini Bauddha University,E
Soccer Bowl '76,E
Boundary Dam,E
Frank Stilwell,E
I Pray on Christmas,E
Lena River,E
Olyokma River,E
right tributary,R
UCLA Bruins football,E
South Park Bridge,E
Colonial troops,E
Heinrich Himmler,E
Martino Martini,E
death cause,R
John Bowlby,E
Marvin Bush,E
Mother Mary Alphonsa,E
Julian Hawthorne,E
has children,R
Pietermaritzburg,E
Postbanken,E
Eutheria,E
Greg Daniels,E
The Office (U.S. TV series),E
South side Elevated Railroad,E
Arthur A. Ross,E
"Fairfield, Connecticut",E
Corringham railway station,E
Rama I,E
Orange Line,E
Oddamavadi Bridge,E
European Broadcasting Union,E
Venice,E
Chicago Blackhawks,E
joel quenneville,E
Macintosh Quadra 660AV,E
Adventures of Huckleberry Finn,E
The Adventures of Tom Sawyer,E
"Sandusky County, Ohio",E
event,R
south asians in Hong Kong,E
Hirunika Premachandra,E
"Westwood, Los Angeles",E
north sea,E
Lyubov Dostoyevskaya,E
Zune,E
Bordesley railway station,E
Cerebral blood flow,E
Matthew kane,E
Park rankin,E
Lucius Cornelius Lentulus Crus,E
Now TV,E
Natural philosophy,E
philosopher,R
Bergen-Belsen concentration camp,E
Lotuspool Records,E
Napster,E
Stephen Kozmeniuk,E
Meadow Soprano,E
faith,R
Federal Reserve Bank Building,E
address,R
Lezlee Westine,E
Arnold W. Braswell,E
White Plains Road,E
Bronx county,E
Hudson Highlands State park,E
"Troy, New york",E
US Navy,E
Patty Lin,E
Franklin W. Olin,E
allen walker,E
kimihiro watanuki,E
Aquarius (rocket),E
Thornton Creek,E
Playbow Enterprises,E
Cell (microprocessor),E
PlayStation 2,E
appliance's,R
Marv Throneberry,E
Curt Coleman,E
Frank Steunenberg,E
World of Tomorrow,E
Giuseppe Bertello,E
Kwai Chang Caine,E
Mazabuka,E
Roy Walker,E
Carroll E. Lanier,E
ann Wenner,E
Shirley Temple's Storybook,E
Ivan Toplak,E
Bret Simon,E
Robert Wise,E
Batoka Gorge Hydroelectric Power Station,E
Neptune,E
invent,R
USS Kittiwake,E
"Castro District, San Francisco",E
driver first,R
mark twain Tonight,E
John Adams,E
national team of Spain,E
James McClure,E
Sukhumbhand paribatra,E
Vargas,E
Kumho Asiana Group,E
Herbert Pell,E
Judson Huss,E
Valentina Matviyenko,E
Kate Lundy,E
Julia Gillard,E
Grard Larcher,E
on broadway,E
Evergreen High School,E
Europa,E
orde,R
Mediterranean sea,E
Karl Marx,E
Class Conflict,E
San Diego Comic-Con International,E
Klang Valley,E
"George Arceneaux, Jr.",E
Blanche Bruce,E
Rhodes-Haverty Building,E
Ptolemy XIV,E
royalty,R
Best Mate,E
Greater San Antonio,E
Elsie Paroubek,E
south side elevated railroad,E
Dean Wurzberger,E
santa clara university,E
manage club,R
Blanche DuBois,E
hyundai lavita,E
hyundai elantra,E
Space Shuttle,E
WTA Tour Championships,E
Mwtro-Noth Railroad,E
Stella Kowalski,E
TranStar Airlines,E
largest,R
Pentagon,E
A Jitney Elopement,E
Smerinthus saliceti,E
entomologist,R
Guitar,E
Alive Naturalsound Records,E
Antoine Bibeau,E
Nathan Dempsey,E
Burnside Distribution Corporation,E
Qaqun,E
american psycho,E
Lucifer's Hammer,E
"The Information: A History, a Theory, a Flood",E
Isaac Newton,E
English Language,E
groups,R
South Station,E
Bjelimićka Rijeka,E
Central Washington,E
Tandem Computers,E
Alta Mesa Memorial Park,E
Thomas Bee,E
Sammy Hagar & Friends,E
VP-8,E
VP-10,E
"Wilton, Connecticut",E
residing,R
Henry David Thoreau,E
Ethics,E
Microsoft Office Picture Manager,E
Cam PLante,E
paris,E
tupac,E
"Subang, Indonesia",E
Music,R
Jerome avenue,E
Tremont avenue,E
counties,R
Pointe d'Aveneyre,E
the Way to Your Heart,E
Monticello,E
Edward Wolcott,E
Plaza on DeWitt,E
north caucasian emirate,E
islam,E
Mind sport,E
game,R
University of Queensland,E
Stanford White,E
Lake Mead,E
A house not meant to stand,E
Akale,E
The fugitive Kind,E
the Notebook of Trigorin,E
Viacom,E
AT&T Park,E
9 to 5 (musical),E
John Spencer,E
Bertalan Szemere,E
Erik Bergman,E
sixth infantry regiment,E
Zachary Taylor,E
Chicago Bulls,E
Tornado,E
Henri Maspero,E
"Plymouth, Vermont",E
Jim Jones,E
Allen Boyd,E
David W. Brown House,E
SIGGRAPH,E
Andrew Schally,E
work institutions,R
Krasnye Vorota,E
Baco Noir,E
regions,R
RCA Records,E
European Border and Coast Guard,E
Trishna (yacht),E
port home,R
Philadelphia Rage,E
William Henry Harrison Tomb State Memorial,E
Minbari,E
language integrated query,E
Motown,E
Thom Evans,E
model,R
Beyond the Sixth Seal,E
Greg Weeks,E
elizabeth alexander,E
Oh! Darling,E
singer,R
Tonight's the night,E
wedded to,R
Switzerland at the 2004 Summer Olympics,E
Roger Federer,E
flagbearer,R
american mediterranean sea,E
biscayne bay,E
CFRX,E
Harry Connick Jr,E
Marmara,E
Kaliningrad,E
Danish Straits,E
The Palace of Auburn Hills,E
employes,R
Herbert Bautista,E
THomas Bryan Martin,E
The Search,E
Michigan Wolverines,E
Liverpool Playhouse,E
Torrey Pines Gliderport,E
Deion Sanders,E
Jennifer Lopez,E
Sune Agerschou,E
Divertis,E
associated acts,R
launched,R
GTK+,E
Robert Bernstein,E
Sloth,E
Dart (programming language),E
"F. A. Little, Jr.",E
Sissela Bok,E
Monroe Station,E
The Weathered Underground,E
Irene Mambilima,E
Nii Okaidja Adamafio,E
Gary Chang,E
soylent,E
bannock,E
Brandon Lee,E
writing,R
The Prodigal Son,E
Joseph Story,E
Lars Bak,E
Richard Hofstadter,E
From the Earth to the Moon,E
Nothing in Common,E
starred,R
Costa Rica women's national football team,E
Stadium,R
Nina Vislova,E
Jack your Body,E
Men Will Be Men,E
North Korea,E
region admin,R
Elie Wiesel,E
Kenya's women national football team,E
Charing Cross Bridge,E
Dorothea Sharp,E
Israel,E
Martin Ragaway,E
Chuck Connors,E
Ashanti region,E
Ricky Grevais,E
KFFG,E
Samuel Moreno Rojas,E
Abiye Abebe,E
Amsale,E
Waddy wachtel,E
Baker's Dozen Donuts,E
Rhythm and blues,E
music genre,R
canton of Fribourg,E
Pork,E
Dan Mica,E
opens,R
Rachel Rasmussen,E
netball player,R
Dofinivka Estuary,E
Maike Evers,E
Theodor Hillenhinrichs,E
The Mysterious Stranger,E
N. C. Wyeth,E
illustration by,R
Francisco Lachowski,E
Second Lieutenant,E
military.,R
"Norton, Massachusetts",E
Everett Dirksen,E
"Kenosha, Wisconsin",E
Stephen E. Ambros ,E
John Orloff,E
educational,R
Cristo Rey Jesuit high School,E
team name,R
Rain Is a Good Thing,E
Elizabeth II,E
Long Rifle,E
hugh Scott,E
"Berkeley, California",E
Cologny,E
Wrongfully Accused,E
Principia Mathematica,E
Los Angeles Lakers,E
eorge M. Chilcott,E
Ricky Gervais,E
Dion Beebe,E
Kang Young-hoon,E
Robin kovacs,E
Irne Joliot-Curie,E
PlayTone,E
Titus Software,E
architectural,R
Voere,E
William Anthony,E
yale Repertory Theatre,E
Somerset Berkley Regional High,E
Dallas Cowboys,E
Hirth Acrostar,E
Cirque du Soleil discography,E
coconut,E
food,R
anton ausserer,E
Lake Ontario,E
"north western, Zambia",E
City of Miami Cemetery,E
Jason Carter (actor),E
Sao Paolo Museum of Art,E
William French Smith,E
Pierre R. Graham,E
Singapore,E
John Paul II,E
Mikhail Voronin,E
Julian Gingell,E
Sony Music Entertainment,E
Geography Club (play),E
Scott Berkun,E
Nick Park,E
Austria,E
Manurewa High School,E
39th infantry regiment,E
Metro Station (band),E
Presidio Santa Cruz de Terrenate,E
DeWitt Clinton,E
Westroads mall shooting,E
Nebraska,E
Malatraix,E
ChristChurch,E
engineer,R
Bottineau LRT,E
system,R
De La Rose,E
breeded,R
jockey,R
Jack Ferguson,E
"Worcester College, Oxford",E
Bataan,R
Andrew W. Lewis,E
Mark Steven,E
The Postman,E
prize received,R
Deborah Crombie,E
reside,R
Sierra Nevada,E
Windows RT,E
AMC Gremlin,E
Audi,E
Linda Lee Cadwell,E
Carmela Soprano,E
Eurovision,E
Jean Grey,E
Cape Canaveral Air Force Station Launch Complex 5,E
David King-Wood,E
John Steed,E
Gustavo Rojas Pinilla,E
graduate,R
Mouse Morris,E
Mark Sandrich,E
Bank of Thailand,E
U.S. Route 59,E
KTXY,E
Subang Interchange,E
Massachusetts house of Representatives,E
Microsoft azure,E
"Williamsburg, Kansas",E
INS Viraat,E
muslim brotherhood,E
Saint Petersburg Moscow Railway,E
Hylebos Creek,E
Goya Award ,E
Cahora Bassa,E
Massachusetts Department of Transportation,E
tunnels,R
tendring,E
Earl B. Ruth,E
Mike Kelly (Australian politician),E
Katima Mulilo Bridge,E
cross,R
Phil-Ellena,E
David Animle Hanses,E
Lesley-Anne knight,E
NTSC,E
Rosie Huntington-Whiteley,E
jimmy Wales,E
Pahang,E
Arabic,E
native name,R
Militia,E
sports manager,R
Troodos Mountains,E
Regional Transit Authority of Southeast Michigan,E
Charles Goodell,E
Ujjain Junction railway station,E
serving railway,R
Paphos,E
Edward Joseph Schwartz,E
Korean Peninsula,E
Krusty,E
On Broadway,E
Slapstick,E
South Island,E
Christchurch,E
Robot Wars: Metal Mayhem,E
Uniontown,E
Keller's mill covered bridge,E
American Basketball League,E
Omar D. Conger,E
Robert Sarvis,E
Emil Dean Zoghby,E
Fort Lauderdale Strikers,E
Pullaiahgaripalli,E
legislature,R
Germanic languages,E
languages.,R
Egypt Nanotechnology Center,E
Akio Morita,E
Rheinmetall MG 60,E
The Orator,E
National Archaeological Museum,E
writer screen,R
Moordener Kill,E
Sean Young,E
Purvis Eureka,E
Egyptian Arabic,E
Central Semitic Languages,E
Robin (comics),E
judson huss,E
isabelle caro,E
Crusade,E
San Francisco Art Institute,E
anthrax,E
Animal Kingdom,E
Kingdom,R
Asus,E
Country music,E
film genre,R
marry,R
Voices,E
Tamera Mowry,E
former band member,R
Democratic Party,E
Party,R
the American Magazine,E
works at,R
Canton of Fribourg,E
Wichita Recordings,E
PIAS Recordings,E
Lucas Oil Stadium,E
Atlantic,E
Ivan Fomin,E
Tupac,E
Salsette Island,E
Panionios G.S.S.,E
Garry Unger,E
Mona Lisa,E
Louvre,E
museum,R
Ludacris,E
A Christian Turn'd Turk,E
Persona,E
WBCQ-FM,E
Sovereign Military Order of Malta,E
Latin,E
Jovan Vladimir,E
Viacom Productions,E
Shimsa Plateau,E
Russia,E
Bruce Lee,E
Desilu Productions,E
Labor relations,E
main interest,R
Edward Douglass White,E
Charles Phelps Taft II,E
has son,R
Perianne Jones,E
Convent of the Barefoot Trinitarians,E
Australia at the 2008 Summer Olympics,E
Stephanie Rice,E
girl from the north country,E
Oprah Winfrey Network,E
Seattle Great Wheel,E
Geography Club,E
career,R
pandaruan river,E
Gough Whitlam,E
World War II,E
Rev (drink),E
Erich Bagge,E
Japan,E
Trn Vit Hng,E
nationalteam,R
Sony Financial,E
William L. Dayton,E
Dick Lundy,E
toronto,E
American English,E
republican river,E
left,R
All I need is Your Sweet lovin ,E
Mid Wales,E
Fox Broadcasting Company,E
U.S. Route 59 in Texas,E
"John Tyler, Sr.",E
Languages of Ethiopia,E
"Ulrich II, Count of East Frisia",E
Bombay Sapphire,E
Liverpool city region,E
Juno I,E
Michael Marder,E
Dan Daoust,E
Don Ashby,E
team for,R
USS Tillamook,E
Barbara Bush,E
Rosie Huntington,E
husband,R
Arkansas wine,E
Medininagar,E
Julian Leow Beng Kim,E
Creative commons,E
Fluidinfo,E
PostgreSQL,E
ARM architecture,E
platforms,R
Spider-Man: Edge of Time,E
Continental Artillery Regiment,E
Henry Knox,E
Brian Moriarty,E
Citizen Kane,E
Bruce Beutler,E
prize awarded,R
Alan Freeman Days,E
Come On over,E
Janice Soprano,E
Volkswagen,E
Freescale Semiconductor,E
cpu,R
Magnolia Plantation gardens,E
End of the Rainbow,E
Judy Garland,E
Hellenic Naval Academy,E
The Palace of Auburn hills,E
basket team ball,R
The Motorcycle Diaries,E
Walt Disney Records,E
"cohoes, NY",E
Columbia University,E
William Campbell,E
Michael Schumacher,E
Audi India,E
South Side elevated railroad,E
twin cities 400,E
william cushing,E
National Basketball Association,E
Cubic Hermite spline,E
bloomington viaduct,E
Paradise place,E
Copley Medal,E
Northeast Library,E
Leuven,E
beverage,R
EMMS,E
Moscow-Kazan high-speed railway,E
Ilya Savelev,E
Bill Peters,E
Battle Chess,E
Label,R
CFRB,E
Warner Bros. Animation,E
Paul Demiville,E
Thorington railway station,E
David Lewis (poet),E
location of death,R
UK,E
Carl Sanders,E
William C P breckinridge,E
Cherokee,E
aachen cathedral,E
shrine,R
Linda Jenness,E
Primate,E
Willem-Alexander of the Netherlands,E
Phil Lumpkin,E
PLACE OF DEATH,R
"Old Lyme, Connecticut",E
"Indian general election, 2004 (Andhra Pradesh)",E
"Brown's Corners, toronto",E
Krista Kelly,E
Pope Pius XI,E
shrines,R
WXME,E
The Bleeding Heart Band,E
Russian railways,E
Girls (The Prodigy song),E
Secrets and Lies,E
Charlie Justice,E
team past,R
Michaelhouse,E
Ennejma Ezzahra,E
Charles Gordon (artist),E
motorpsycho Nitemare,E
israel,E
The Ultimate Fighter: Team Rousey vs. Team Tate,E
South African class 11e,E
RENFE class 333,E
Ape,E
Goethe Prize,E
John Scott Harrison,E
has kids,R
French southern and antarctic lands,E
Kerguelen islands,E
Iyoas I,E
WCW Mayhem,E
RCA records,E
Brazilian jiu-jitsu,E
Choctaw,E
Cleopatra V,E
ptolemy XIII Theos Philopator,E
the sarah jane adventure ,E
dr who confidential,E
kasparov,E
genere,R
SamurAbsheron channel,E
Anar Salmanov,E
country source,R
Sunrise,E
Timm Gunn,E
Aston Villa 2000-02 season,E
Middlesbrough F.C. season 2009-10,E
PCL constructures,E
constructions,R
tenats,R
Johann Gottfried,E
1997 canadian grand prix,E
94 spanish one,E
pole position,R
Master Card center,E
Sam Carrick,E
Zaman Shah Durrani,E
Salahuddin,E
the mating habits of earthbound humans,E
Mams taylor,E
acted,R
crossed,R
chestnut bellied white rat,E
a,R
Fr Agnel Multipurpose School,E
john of Damasucs,E
Josiah Idowu-Fearon,E
relegious,R
Kazuo Hirai,E
Dan Shamash,E
Ever bank field,E
San Marcos River,E
jazz fusion,E
Pope Gregory I,E
human rights party,E
Croix de guerre,E
Azam F.C.,E
azam,R
players,R
INKAS,E
"T.I. Ahmadiyya Senior High School, Kumasi",E
Ikelenge  District,E
fellowship,R
researchers,R
acer nigrum,E
in making,R
Filipinos,E
filipinos,R
Tessa Dahl,E
Ananda College,E
alumini,R
Panionios G.S.S. season,E
Cowombat  Flat,E
Murray Mouth,E
2015 Argentine Primera Division,E
season,R
photography,R
coutries,R
Get TV,E
the Galleria,E
parent organization,R
Populous,E
rented,R
chumash people,E
governs,R
J. Michael Stracznski,E
merlin express,E
cibano international airport,E
live,R
Ontaria,E
Fox,R
Box Girder bridge,E
bridges,R
Western Australian Public Transport Authority,E
Herzogenaurach,E
located,R
Blizzard Entertainment studios,E
Costa Rica national football team,E
rented by,R
scientologi,E
commodore CDTV,E
Mark Johnson,E
cast member,R
Fusil Gras Mile 1874,E
territories,R
employees,R
Norfolk Southern Railway,E
railway line,R
Jeju airport,E
fly,R
Ishir Honda,E
motion picture,R
Alpine skiing at the 1964 Winter Olympics  Men's slalom,E
bronze medalist,R
skier,R
virgin radio,E
tani University,E
Pittsburgh Pirates,E
Model C,E
Henry Ford,E
design,R
Joseph Case High School,E
John Robert Woodyard,E
Norbert Wiener Award for Social and Professional Responsibility,E
won,R
George Siebels jr,E
Leroy Collins,E
Germany,E
armymen,R
Ashton Historic district,E
lives,R
Greater Napanee,E
French,E
speak,R
Jowai,E
officers,R
Duanne Allman,E
Les Paul,E
known to play,R
famous,R
tonle sap,E
Ndonga Mianga,E
teammates,R
biggest town,R
Benjamin Franklin Terry,E
US Route 59,E
"buried,",R
James Langer,E
freedom foreign policy,E
John Trumbull,E
covered,R
Jusrisdiction,R
philosophy,E
journal,R
Jose Cha Cha Jimenez,E
kore Presbyterian Theological Seminar,E
Celal Bayer university,E
Yasmin Paige,E
Heinz Kokott,E
Thesaban,E
The Best of Both Worlds (song),E
Paul Morphy,E
compiled,R
incredible hulk,E
stan lee,E
narrate,R
Al Khaleejiya 100.9,E
Harvest Christian Center,E
affiliated,R
Virtual Kasparov,E
blizzard,E
reading,E
Gelnhausen,E
Pepperdine University,E
gadsden fort,E
in conflict,R
immerman richard,E
franklin olin,E
attended,R
Occupation of Japan,E
project,R
vanderbilt hospital children,E
GM B,E
base,R
Counterpoint,E
grandson,R
9800,E
PC,R
kind,R
Anglo-Frisian language ,E
language family,R
ethinic group,R
Tony Bennett,E
performed,R
Novelas ejemplares,E
anne spielberg,E
Ivan III,E
grave,R
spanish,E
located in,R
Random House,E
henry catto,E
Wyoming,E
Jeffrey Werleman,E
Khmer Issarak,E
worked,R
Prime minister,R
Jason Hayne,E
currently plays,R
1211 Avenue of the Americas,E
Chris-Craft Industries,E
sitcoms,R
Gemini 8,E
mission,R
astronaut,R
Lightning McQueen,E
hear,R
Caroline Augusta Foley Rhys Davids,E
Buddhism,E
study,R
states,R
"First Church of Christ, Scientist",E
mastercard,E
stadium smyrni,E
Ingmar bergman,E
o'brien james,E
colonel,E
with,R
Toronto,E
Mike Salmon,E
Julius Caesar,E
Kingship,R
Mary Poppins,E
based on,R
Panathinaikos FC,E
Clamp,E
sculpted,R
critical,R
czartoryska,E
Charles Journet,E
Philippe tesnire,E
Jim Dooley,E
performing,R
amusement park attraction,R
Derg,E
Mario Olivero,E
Vitis Vinifera,E
 ,R
Manchester airport,E
garrisoned,R
fly to,R
Doctor Who Extra,E
followed by,R
Delhi,E
head office,R
NatGeo,E
photographer,R
Itali,E
ans,R
Hyundai Lavita,E
assembled,R
Dalilah Sappenfield,E
pupil,R
Morphine,E
died due,R
tower of London,E
cardinal,E
Jim Wylie,E
Ursula Hanle,E
planes,R
Judge Advocate General 's Corps,E
institutes,R
swedish,E
philosophers,R
Inthakin,E
Fort Lauderdale Strikers season of 16,E
Operation Barbarossa,E
Iyasu II,E
king,R
Audie Murphy,E
arlington national,E
Tokyo Broadcasting System,E
written,R
George Beauchamp,E
St lawrence river,E
"Kingston, Ontario",E
MTR,E
Mac OS 9,E
Tiny Tower,E
market,R
VDE-Gallo Records,E
Electric Lady Studios,E
the band If,E
produced by,R
"Ridgewood, New Jersey",E
proprietor,R
utopian and dystopian fiction,E
Westchester Avenue,E
Bronx,E
fall under,R
colombo,E
live in,R
WTJC-LP,E
belongs,R
The Persian Boy,E
michelangelo,E
painter,R
Sodagreen,E
boarder country,R
state of,R
Kelsey Creek,E
Levon Ashotovich Grigorian,E
living,R
Metro Manill,E
played,R
Compaq,E
Bob C Riley,E
succeeded,R
Oskar Blues,E
championship alpine world,E
held,R
science fiction,E
Runes of Magic,E
make,R
ramiro,E
TNT,E
Jeff Conaway,E
sitcom,R
John Tory,E
North Caucasus railway,E
originating,R
employ,R
televion show,R
Bert McCaffrey,E
Thomas Helwys,E
great things,R
George Madison,E
conger,E
nominated,R
vadodara mathura,E
vadodara station railway,E
Solon Spencer Beman,E
found,R
diplomats,E
practiced,R
James,E
SF,E
Waxiang people,E
PhD,R
associat,R
toronto marlies,E
expected to join,R
drafted team,R
william smith,E
phillips alfred,E
minister,R
Edsel Ranger,E
Menora Tunnel,E
operates,R
astronomical society,E
Cape Town,E
won a gold medal,R
John McEwen,E
hanged themselves,E
hanged,R
Bridge,R
West Berkshire Council,E
Early in the Morning and Late at Night,E
Hank Williams Jr.,E
Indian Standard Time,E
Time Zone,R
NYC FC,E
spanish football,E
The Ultimate Fighter: Brazil 2,E
came after,R
TV Show,R
WCW mayhem,E
Marika Gombitov ,E
songs,R
Broadcast Syndication,E
comedy central,E
Battle of the Bulge,E
The trial,E
One of these days,E
individual swimming olympics summer medley,E
Birdman enterprises,E
work in,R
"Mariveles, Bataan",E
John Estes,E
debutant team,R
little colorado river,E
Grand Canyon,E
Words of Gold,E
facebook messenger,E
Barq's,E
Arsenal Cider House,E
White Plum Asanga,E
board game,E
mind,E
Joel Quenneville,E
team coached,R
win,R
ice hockey league,R
based,R
human,E
James H. Fields,E
elizabeth,E
Big Creek around Texas,E
the frost king,E
Iqbal Singh,E
shiva rao,E
judged,R
Russell T Davis,E
box girder bridge,E
National Capital Region Athletic Association,E
unitary,E
ship,R
"Kaplan, Inc.",E
technological products,R
Gibby Haynes,E
saxophone,E
going,R
go where,R
animated,R
success,R
the Comedy Channel,E
Richard Stites,E
The Times They Are a-Changin,E
started,R
the software RenderMan,E
Thomas bryan Martin,E
carmichael,E
Fuountain Lake Farm,E
nearer,R
Amiga,E
kinds of,R
grand prix 1994,E
Paud,E
educational institutes,R
governer,R
Jeevan Mrityu,E
mary poppins,E
stayed,E
used to,R
cross over,R
Tamon Ohta,E
manga,R
Russell Davies,E
Cheers Beacon hill,E
representatives election united states house,E
owned by,R
Shay,E
rebellion,R
charat district,E
district in peru,E
British,E
satyanarayana raju datl,E
Kingston Ontario,E
worked for,R
Hafthor Julius Bjornsson,E
pacific,R
Stuart Alan Jones,E
channel comedy,E
earlier,R
air on the channel,R
Kirk Hammett,E
Gibson Flying V,E
Sturm College of Law,E
studied in,R
television show Dragon's Den,E
Public transport authority of western australia,E
Gods of Egypt,E
Carl Sagan,E
penned books,R
matters,R
US department of navy,E
units udner,R
Craig Van Tibury,E
arthur bagby,E
thomas hicks,E
administrative centre,R
Bengalis,E
different kinds of,R
GPL license,E
balgowan,E
athlete,R
basketball virginia hokies,E
basketball marquette golden eagles,E
judge advocate general corps,E
studio disney walt,E
zambezi river authority,E
belonging to,R
vance johnson,E
wide receiver,E
countires,R
arthur ross,E
Edward Niesen,E
come from,R
Heroman,E
Zambezi,E
province western zambia north,E
originate in,R
"Douglas, Isle of Man",E
florida tampa,E
Musee d'orsay,E
Gibson Guitar Corporation,E
2013 Copa Centroamericana,E
Craig Robinson,E
Lebrsnik,E
Frank Thorne,E
Ekstraliga,E
Aaround Van Heemstra,E
"Burbank, California",E
Salford City F.C,E
East Whiteland Township in Pennsylvania,E
meet at,R
flights,R
Oldsmobile 88,E
similar,R
d'aveneyre,E
Le Gibloux,E
Kevin Tsujihara,E
led by,R
Quagmire's Quagmire,E
after ; made,R
united center,E
performing in,R
gold coast football club,E
James F Obrien,E
Dinamo Krasnodar,E
Alexius Meinong,E
thesis,R
"Wuropean School, Karlsruhe",E
hudson,E
croton river,E
Koay Teng Hai,E
representatives united states,E
drayton John,E
Drayton,R
mixed,E
gender,R
authorities,R
ape,E
Peter Crouch,E
Stoke City FC,E
The Temptress,E
nosler lloyd,E
Oliver Sacks,E
Classic rock,E
the point?,E
studied,R
national Herald,E
affoltern albis,E
In,R
peak,R
known,R
Australian Alps,E
2008,E
election,R
Lampedusa,E
university indies west,E
statesman,R
Richard Taylor,E
wonderland alice,E
the haunted house,E
1929_film,R
Urban Area,E
Kiki Cutter,E
Jane,E
Emma,E
Manhatten,R
Emma and Jane Austen,R
Robert T. Herres,E
Bucyrus MT6300AC,E
Jacob,E
important,R
geoffrey Rush,E
Microsoft Expression Encoder,E
develops,R
Chapelle Saint-Louis de Carthage,E
Norwalk Trainband,E
Ajahn Sao Kantaslo,E
music bafta film for,E
Microsoft office,E
altazor,E
Picasso,E
drawn,R
Toronto Argonauts,E
Marika Gombitova,E
sing,R
christopher figuero,E
Cruce a Nado Internacional,E
Jamiatu Muslim Mindanao,E
events,R
switzerland olympics summer 2004,E
switzerland olympics summer 2008,E
bearer flag,R
national science medal,E
winning,R
pupils,R
connick harry,E
batch monitor,E
riddim ribbon,E
Ribbon,R
Xianren Cave,E
tone play,E
Bangkok,E
Quarterback,E
Emmett Hughes,E
5.1 surround sound,E
unready thelred,E
"venerated,",R
Unready,R
jointly,R
international association of universities,E
institutions,R
close air support,E
responsible,R
The Chess Monthyl,E
Craig van Tilbury,E
NBA,E
participants,R
barcelona season,E
Suburb,E
institute,R
broad creek,E
Audenried tunnel,E
Close air support,E
involved,R
Hotchkiss,E
used war,R
QF,R
MCM,R
female,R
Glasgow,E
moskovsky,E
"route,",R
William Deane,E
mark Latham,E
minster,R
Volleyball,E
plays,R
Pope Gregory 1,E
Edwin of northumbria,E
reverred,R
croatian inline hockey,E
Sam Loyd,E
Janta Dal,E
number,R
States,E
Hank Brown,E
Greek ,E
Indian English,E
Dennis DeConcini,E
John A Danaher III,E
MacKenzie Miller,E
Letitia MacTavish Hargrave,E
demise,R
disease,R
Beeleigh Abbey,E
royalities,R
Auckland rugby union team,E
The Incredible Hulk,E
Suspense,E
Tales,R
participant in conflict,R
Harward Medical School,E
balangir,E
Amaravila,E
india,R
PATTS college of aeronautics,E
Jamiatu muslim mindanao,E
Assyrian Neo-Aramaic,E
spoken,R
Massimo Liverani,E
Abarth,E
PlayStation 3 system software,E
provided,R
island bayou,E
Dartmouth College,E
Thomy Bourdelle,E
penguin,E
Twin cities 400,E
Leona Baumgarter,E
operated by,R
Terry Gou,E
is founded by,R
manufacturing,R
belong,R
runs,R
Facility,R
The National Herald,E
mass media,E
articles,R
Los Angeles Angels of Anaheim,E
represented,R
run,R
virtual console,E
availible,R
Chidambaram Subramaniam,E
Scotland,E
Playboy Enterprise ,E
screenwriter,E
Newman Haynes Clanton,E
lillie house frank,E
grey,E
eristoff,E
SF Board of Supervisors,E
Boeing Field,E
News Corp,E
someplace,R
Quezon city,E
